Company Name,UID,Entity Name,Alias,Start Date,End Date,Has Ended,LinkedIn Url,Wiki Url,Other Url,Start Date Assumed,Start Year,Start Month,Start Day,End Date Assumed,End Year,End Month,End Day,
Alibaba Group Holding Limited,EQT-8932B4,Alibaba Investment Limited,Alibaba Investment Limited,,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=313807193,TRUE,-,-,-,TRUE,-,-,-,
Alibaba Group Holding Limited,EQT-8932B4,Alipay Singapore E-Commerce Private Limited,Alipay Singapore E-Commerce Private Limited,2010,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=256328169,TRUE,2010,-,-,TRUE,-,-,-,
Alibaba Group Holding Limited,EQT-8932B4,Zhejiang Taobao Network Company Limited,Zhejiang Taobao Network Company Limited,2003,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=20704394,TRUE,2003,-,-,TRUE,-,-,-,
Alibaba Group Holding Limited,EQT-8932B4,Alibaba Group Treasure Limited,Alibaba Group Treasure Limited,31-Jul-18,,,,,http://openleis.com/legal_entities/254900VWULDALIAWMX05/ALIBABA-GROUP-TREASURY-LIMITED,FALSE,2018,7,31,TRUE,-,-,-,
Alibaba Group Holding Limited,EQT-8932B4,Taobao (China) Software Company Limited,Taobao (China) Software Company Limited,,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=126828966,TRUE,-,-,-,TRUE,-,-,-,
Alibaba Group Holding Limited,EQT-8932B4,Alibaba (chengdu) Education & Software Company Limited,Alibaba (chengdu) Education & Software Company Limited,,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=102283637,TRUE,-,-,-,TRUE,-,-,-,
Alibaba Group Holding Limited,EQT-8932B4,365Fanyi,365Fanyi,20-Aug-15,,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=309711298,FALSE,2015,8,20,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Google LLC,"Google LLC, Google Inc, Google",10-Aug-15,,,https://www.linkedin.com/company/google/,https://en.wikipedia.org/wiki/Google,,FALSE,2015,8,10,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Verily Life Sciences LLC,"Verily Life Sciences LLC, Verily Life Sciences L.L.C, Verily, Google Life Sciences",07-Dec-15,,,https://www.linkedin.com/company/verily-life-sciences/,https://en.wikipedia.org/wiki/Verily,https://www.crunchbase.com/organization/verily-2,FALSE,2015,12,7,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Waymo LLC,"Waymo LLC, Google Self-Driving Car Project",17-Jan-09,,,https://www.linkedin.com/company/waymo/,https://en.wikipedia.org/wiki/Waymo,,FALSE,2009,1,17,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,X Development LLC,"X Development LLC, Google X, Moonshot",Jan-2010,,,https://www.linkedin.com/company/x/,https://en.wikipedia.org/wiki/X_(company),https://www.crunchbase.com/organization/google-x,TRUE,2010,1,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,DeepMind Technologies Limited,"DeepMind Technologies Limited, DeepMind",2014,,,https://www.linkedin.com/company/deepmind/,https://en.wikipedia.org/wiki/DeepMind,,TRUE,2014,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,CapitalG,"CapitalG, Google Capital",2015,,,https://www.linkedin.com/company/capitalg/,https://en.wikipedia.org/wiki/CapitalG,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=244638517,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Calico LLC,Calico LLC,2015,,,,https://en.wikipedia.org/wiki/Calico_(company),https://www.crunchbase.com/organization/calico,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Sidewalk Labs,Sidewalk Labs,2015,,,https://www.linkedin.com/company/sidewalk-labs/,https://en.wikipedia.org/wiki/Sidewalk_Labs,https://www.crunchbase.com/organization/sidewalk-labs,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,GV,"GV, Google Ventures",2015,,,,https://en.wikipedia.org/wiki/GV_(company),https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=54497244,TRUE,2015,-,-,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Youtube TV,YouTube Tv,28-Feb-17,,,,https://en.wikipedia.org/wiki/YouTube_TV,,FALSE,2017,2,28,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Chronicle,"Chronicle, Chronicle Cybersecurity",24-Jan-18,,,https://www.linkedin.com/company/chroniclesec/,https://en.wikipedia.org/wiki/Chronicle_(company),,FALSE,2018,1,24,TRUE,-,-,-,
Alphabet Inc,EQT-2E77A2,Google France SARL,Google France SARL,2002,,,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=27551874,,TRUE,2002,-,-,TRUE,-,-,-,
