Company Name,UID,Entity Name,Alias,Position,Start Date,End Date,Has Ended,LinkedIn Url,Wiki Url,Other Url,Start Date Assumed,Start Year,Start Month,Start Day,End Date Assumed,End Year,End Month,End Day
3M Company,EQT-6F6641,John Banovetz,John Banovetz,Strategy Manager of Corporate Business Development,01-Jul-17,Dec-2012,,https://www.linkedin.com/in/john-banovetz-5004666/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=434956119&privcapId=289194,FALSE,2017,7,1,TRUE,2012,12,-
3M Company,EQT-6F6641,John Banovetz,John Banovetz,Director of Strategy and Business Development,01-Jul-17,Dec-2012,,https://www.linkedin.com/in/john-banovetz-5004666/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=434956119&privcapId=289194,FALSE,2017,7,1,TRUE,2012,12,-
3M Company,EQT-6F6641,James Bauman,"James Bauman, Jim Bauman",Executive Vice President,01-Jul-17,,,https://www.linkedin.com/in/jim-bauman-98ab741/,,https://investors.3m.com/governance/corporate-officers/default.aspx,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,James Bauman,"James Bauman, Jim Bauman",Senior Vice President,01-Jul-17,,,https://www.linkedin.com/in/jim-bauman-98ab741/,,https://investors.3m.com/governance/corporate-officers/default.aspx,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,James Bauman,"James Bauman, Jim Bauman",Vice President,01-Jul-17,,,https://www.linkedin.com/in/jim-bauman-98ab741/,,https://investors.3m.com/governance/corporate-officers/default.aspx,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,James Bauman,"James Bauman, Jim Bauman",General Manager,01-Jul-17,,,https://www.linkedin.com/in/jim-bauman-98ab741/,,https://investors.3m.com/governance/corporate-officers/default.aspx,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,James Bauman,"James Bauman, Jim Bauman",Vice President of Optical Films for LCD Industry,01-Jul-17,,,https://www.linkedin.com/in/jim-bauman-98ab741/,,https://investors.3m.com/governance/corporate-officers/default.aspx,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Executive Vice President of International Operations,01-Jul-17,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Senior Vice President of Transformation and Information Technology,Nov-2013,01-Jul-17,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,TRUE,2013,11,-,FALSE,2017,7,1
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Executive Vice President of Safety and Graphics Business Group,03-Oct-12,Nov-2013,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,FALSE,2012,10,3,TRUE,2013,11,-
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Executive Vice President of Security and Protection Services Business,01-Jun-11,03-Oct-12,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,FALSE,2011,6,1,FALSE,2012,10,3
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Vice President of Occupational Health and Environmental Safety Division,2007,2011,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,TRUE,2007,-,-,TRUE,2011,-,-
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,General Manager of Occupational Health and Environmental Safety Division,2007,2011,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,TRUE,2007,-,-,TRUE,2011,-,-
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Executive Officer of Information Technology Staff and Shared Services,,,TRUE,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,TRUE,-,-,-,TRUE,-,-,-
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Chief Information Officer,2003,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,TRUE,2003,-,-,TRUE,-,-,-
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Executive Director of Business Information Technology,2003,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,TRUE,2003,-,-,TRUE,-,-,-
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Director of Six Sigma,2001,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,TRUE,2001,-,-,TRUE,-,-,-
3M Company,EQT-6F6641,Julie Bushman,Julie Bushman,Director of Consumer and Officer Markets,2001,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167454&privcapId=289194,TRUE,2001,-,-,TRUE,-,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Executive Vice President of Consumer Business Group,11-Jul-16,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,FALSE,2016,7,11,TRUE,-,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Executive Vice President of Health Care Business Group,2012,11-Jul-16,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2012,-,-,FALSE,2016,7,11
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Executive Vice President of Electro and Communications Business,Jul-2009,2012,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2009,7,-,TRUE,2012,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Vice President of Electronics Markets Materials,2007,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2007,-,-,TRUE,-,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",General Manager of Electronics Markets Materials,2007,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2007,-,-,TRUE,-,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Vice President of Research and Development,2005,2007,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2005,-,-,TRUE,2007,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Vice President of New Business Ventures,2005,2007,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2005,-,-,TRUE,2007,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Vice President of Consumer and Officer Business,2005,2007,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2005,-,-,TRUE,2007,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Executive Director of Research and Development,2002,2003,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2002,-,-,TRUE,2003,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Executive Director of Corporate Technology,2002,2003,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2002,-,-,TRUE,2003,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Executive Director of Industrial Business,2002,2003,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2002,-,-,TRUE,2003,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Executive Director of Research and Development,2001,2002,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2001,-,-,TRUE,2002,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Executive Director of Corporate Technology,2001,2002,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2001,-,-,TRUE,2002,-,-
3M Company,EQT-6F6641,Joaquin Delgado,"Joaquin Delgado, Dr. Joaquin Delgado",Executive Director of Industrial Markets,2001,2002,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=27167464&privcapId=289194,TRUE,2001,-,-,TRUE,2002,-,-
3M Company,EQT-6F6641,Ivan Fong,Ivan Fong,Senior Vice President of Legal Affairs,Oct-2012,,,https://www.linkedin.com/in/ivfong/,https://en.wikipedia.org/wiki/Ivan_K._Fong,https://www.bloomberg.com/research/stocks/people/person.asp?personId=24560524&privcapId=289194,TRUE,2012,10,-,TRUE,-,-,-
3M Company,EQT-6F6641,Ivan Fong,Ivan Fong,General Counsel,Oct-2012,,,https://www.linkedin.com/in/ivfong/,https://en.wikipedia.org/wiki/Ivan_K._Fong,https://www.bloomberg.com/research/stocks/people/person.asp?personId=24560524&privcapId=289194,TRUE,2012,10,-,TRUE,-,-,-
3M Company,EQT-6F6641,Nicholas Gangestad,"Nichola Gangestad, Nick Gangestad",Senior Vice President,09-Jun-14,,,https://www.linkedin.com/in/nick-gangestad-4b487110/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=129519738&privcapId=289194,FALSE,2014,6,9,TRUE,-,-,-
3M Company,EQT-6F6641,Nicholas Gangestad,"Nichola Gangestad, Nick Gangestad",Chief Financial Officer,09-Jun-14,,,https://www.linkedin.com/in/nick-gangestad-4b487110/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=129519738&privcapId=289194,FALSE,2014,6,9,TRUE,-,-,-
3M Company,EQT-6F6641,Nicholas Gangestad,"Nichola Gangestad, Nick Gangestad",Chief Accounting Officer,01-Apr-11,09-Jun-14,,https://www.linkedin.com/in/nick-gangestad-4b487110/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=129519738&privcapId=289194,FALSE,2011,4,1,FALSE,2014,6,9
3M Company,EQT-6F6641,Nicholas Gangestad,"Nichola Gangestad, Nick Gangestad",Vice President,01-Apr-11,09-Jun-14,,https://www.linkedin.com/in/nick-gangestad-4b487110/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=129519738&privcapId=289194,FALSE,2011,4,1,FALSE,2014,6,9
3M Company,EQT-6F6641,Nicholas Gangestad,"Nichola Gangestad, Nick Gangestad",Corporate Controller,01-Apr-11,09-Jun-14,,https://www.linkedin.com/in/nick-gangestad-4b487110/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=129519738&privcapId=289194,FALSE,2011,4,1,FALSE,2014,6,9
3M Company,EQT-6F6641,Eric Hammes,Eric Hammes,Senior Vice President of Business Transformation and Information Technology,01-Jul-17,,,https://www.linkedin.com/in/eric-hammes-30711693/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=265819979&privcapId=289194,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,Eric Hammes,Eric Hammes,Chief Accounting Officer,09-Jun-14,01-Jul-17,,https://www.linkedin.com/in/eric-hammes-30711693/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=265819979&privcapId=289194,FALSE,2014,6,9,FALSE,2017,7,1
3M Company,EQT-6F6641,Eric Hammes,Eric Hammes,Vice President,09-Jun-14,01-Jul-17,,https://www.linkedin.com/in/eric-hammes-30711693/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=265819979&privcapId=289194,FALSE,2014,6,9,FALSE,2017,7,1
3M Company,EQT-6F6641,Eric Hammes,Eric Hammes,Corporate Controller,09-Jun-14,01-Jul-17,,https://www.linkedin.com/in/eric-hammes-30711693/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=265819979&privcapId=289194,FALSE,2014,6,9,FALSE,2017,7,1
3M Company,EQT-6F6641,Eric Hammes,Eric Hammes,Vice President of Finance,Apr-2013,,,https://www.linkedin.com/in/eric-hammes-30711693/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=265819979&privcapId=289194,TRUE,2013,4,-,TRUE,-,-,-
3M Company,EQT-6F6641,Eric Hammes,Eric Hammes,Vice President of International and Staff Operations,Apr-2013,,,https://www.linkedin.com/in/eric-hammes-30711693/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=265819979&privcapId=289194,TRUE,2013,4,-,TRUE,-,-,-
3M Company,EQT-6F6641,Paul Keel,Paul Keel,Senior Vice President of Business Development and Marketing Sales,Oct-2017,,,https://www.linkedin.com/in/paul-keel-92534727/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=136387&privcapId=289194,TRUE,2017,10,-,TRUE,-,-,-
3M Company,EQT-6F6641,Paul Keel,Paul Keel,Senior Vice President of Supply Chain,Dec-2014,Oct-2017,,https://www.linkedin.com/in/paul-keel-92534727/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=136387&privcapId=289194,TRUE,2014,12,-,TRUE,2017,10,-
3M Company,EQT-6F6641,Paul Keel,Paul Keel,Vice President of Business Development,2004,2007,,https://www.linkedin.com/in/paul-keel-92534727/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=136387&privcapId=289194,TRUE,2004,-,-,TRUE,2007,-,-
3M Company,EQT-6F6641,Ashish Khandpur,Ashish Khandpur,Executive Vice President of Electronics and Energy Business Group,01-Jul-17,,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=115866965&privcapId=289194,FALSE,2017,7,1,TRUE,-,-,-
3M Company,EQT-6F6641,Ashish Khandpur,Ashish Khandpur,Chief Technology Officer,14-Jul-14,01-Jul-17,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=115866965&privcapId=289194,FALSE,2014,7,14,FALSE,2017,7,1
3M Company,EQT-6F6641,Ashish Khandpur,Ashish Khandpur,Senior Vice President of Research and Development,14-Jul-14,01-Jul-17,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=115866965&privcapId=289194,FALSE,2014,7,14,FALSE,2017,7,1
3M Company,EQT-6F6641,Ashish Khandpur,Ashish Khandpur,Vice President of Personal Safety,Jan-2014,Jul-2014,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=115866965&privcapId=289194,TRUE,2014,1,-,TRUE,2014,7,-
3M Company,EQT-6F6641,Ashish Khandpur,Ashish Khandpur,General Manager of Personal Safety,Jan-2014,Jul-2014,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=115866965&privcapId=289194,TRUE,2014,1,-,TRUE,2014,7,-
3M Company,EQT-6F6641,Ashish Khandpur,Ashish Khandpur,Vice President of Research and Development of Industrial Business Group,2013,Jan-2014,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=115866965&privcapId=289194,TRUE,2013,-,-,TRUE,2014,1,-
3M Company,EQT-6F6641,Jon Lindekugel,"Jon Lindekugel, Jon T. Lindekugel",Senior Vice President of Business Development and Marketing Sales,Sep-2015,,,https://www.linkedin.com/in/jon-t-lindekugel-9031929/,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=99092152&privcapId=289194,TRUE,2015,9,-,TRUE,-,-,-
3M Company,EQT-6F6641,Jon Lindekugel,"Jon Lindekugel, Jon T. Lindekugel",Senior Vice President of Business Development,2014,Sep-2015,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=99092152&privcapId=289194,TRUE,2014,-,-,TRUE,2015,9,-
3M Company,EQT-6F6641,Jon Lindekugel,"Jon Lindekugel, Jon T. Lindekugel",Vice President,2008,2014,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=99092152&privcapId=289194,TRUE,2008,-,-,TRUE,2014,-,-
3M Company,EQT-6F6641,Jon Lindekugel,"Jon Lindekugel, Jon T. Lindekugel",General Manager,2008,2014,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=99092152&privcapId=289194,TRUE,2008,-,-,TRUE,2014,-,-
3M Company,EQT-6F6641,Jon Lindekugel,"Jon Lindekugel, Jon T. Lindekugel",Director of Business,2005,2008,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=99092152&privcapId=289194,TRUE,2005,-,-,TRUE,2008,-,-
3M Company,EQT-6F6641,Jon Lindekugel,"Jon Lindekugel, Jon T. Lindekugel",Director of Manufacturing,2003,2005,,,,https://www.bloomberg.com/research/stocks/people/person.asp?personId=99092152&privcapId=289194,TRUE,2003,-,-,TRUE,2005,-,-
